w_turn,w_risk,attempts,valid,success_rate,median_length,median_turning,median_clearance,median_runtime
0.25,0.4,3,3,1.0,1016.48947172134,0.0303950634260968,0.7684800223725716,0.7327504359998329
0.25,0.9,3,3,1.0,1075.005033285238,0.025394850502203,1.5694184969336042,0.6415218239997103
0.25,1.4,3,3,1.0,1058.5412025395,0.0261080525978955,2.2790081634211123,0.8925471760001074
0.55,0.4,3,3,1.0,1033.104395516764,0.027107515807011,0.7051178272797998,0.5932332099998803
0.55,0.9,3,3,1.0,1038.237583208882,0.0265965047503804,2.2790081634211123,0.6886632489997737
0.55,1.4,3,3,1.0,1030.4728424520906,0.0268992944722679,2.05298585303683,0.5892972439999085
0.9,0.4,3,3,1.0,1044.60815542651,0.0350630535989236,1.1597262059323672,0.5824948770000447
0.9,0.9,3,3,1.0,1017.1671076332386,0.0295510020280627,1.101685358546206,0.7023288599998523
0.9,1.4,3,2,0.6666666666666666,1064.1835639822207,0.03186654727891885,0.7980551681874957,0.7125178180001512
