krep,attempts,valid,success_rate,median_length,median_turning,median_clearance,median_runtime
0.25,4,2,0.5,1043.457689841402,0.030071170585910502,1.484261771319149,0.973438081500035
0.65,4,3,0.75,1026.4618044297215,0.0305866396166279,1.2247992729195918,0.8398668094999948
1.05,4,4,1.0,1035.0570676205239,0.0261799664732746,1.128177663729402,0.7339348264997625
