experiment,metric,n,mean_delta,median_delta,bootstrap_mean_ci_low,bootstrap_mean_ci_high
fixed,delta_length,74,1.6623429795552502,-2.328030100317619,-8.48165632126783,12.32088962507118
fixed,delta_turning,74,0.0028139944555587424,0.0010966160601558,0.00010046041634555083,0.005567073697656692
fixed,delta_clearance,74,0.04819138114428928,0.1850596145449827,-0.3670125206511767,0.5097978190437497
fixed,delta_runtime,80,0.5377759813874704,0.4554746855000076,0.4603333972334141,0.6226140371843399
random,delta_length,46,-10.681420258012249,-10.440534361114715,-18.52169558493984,-2.5166110220164724
random,delta_turning,46,0.0009905346558856712,-1.9932468974450005e-05,-0.00309361659650068,0.005347948031127292
random,delta_clearance,46,-0.36275957448970686,-0.1553155246542328,-0.9158916654834277,0.19272678528933598
random,delta_runtime,60,0.5061777749666742,0.4034889624998641,0.4420436150850661,0.5800278050008331
