C,rho,attempts,valid,success_rate,median_length,median_runtime,median_clearance
5,100,3,1,0.3333333333333333,1297.9949252099216,0.7286093130001063,1.4112666797778708
5,140,3,2,0.6666666666666666,1192.9599110637323,0.5680785520000882,2.5080485230048417
5,180,3,1,0.3333333333333333,1048.8152538326665,0.7880672830001458,2.942855944845572
9,100,3,3,1.0,1059.1849466422843,0.8360831359998429,0.8360425975600059
9,140,3,3,1.0,1023.4130380532408,0.604285038999933,0.4883676676728754
9,180,3,2,0.6666666666666666,1099.1690657146057,0.8430661100001089,2.620778965865185
13,100,3,2,0.6666666666666666,1047.4069818379471,1.094524660000161,0.3525201722432856
13,140,3,3,1.0,1025.8449658508132,1.1328394280001248,1.5296336155084411
13,180,3,3,1.0,1052.4889578565555,1.3406388629998671,1.960357142906069
