experiment,map_id,seed,apf_valid,ral_valid,delta_runtime,delta_length,delta_turning,delta_clearance
fixed,S1,1000,1,1,0.42905688799999103,-43.371559887986905,-0.004563315316055597,3.278416665918762
fixed,S1,1001,1,1,0.7847386579999238,54.65284194900369,0.0197590787632543,0.7508068724319938
fixed,S1,1002,1,1,0.46651913000016526,-59.96315385493335,-0.027854620381826997,1.8755935930620051
fixed,S1,1003,1,1,0.47953294200010543,78.31907134293942,-0.003894580296862994,0.838812773848836
fixed,S1,1004,1,1,0.5087952510000378,5.267783921202181,0.00041515418008299804,0.20915866907982839
fixed,S1,1005,1,1,0.46881307900002867,12.569008824518733,0.004403721276889403,1.304878072256283
fixed,S1,1006,1,1,0.4789959740000995,3.2922204815336045,0.022523221072962098,-0.37567741700494395
fixed,S1,1007,1,1,0.320038615000044,-7.413043403234951,0.013580800175346103,0.16096056001013714
fixed,S1,1008,1,1,0.4524978819999888,-8.701712618531928,0.0025643231532757986,-3.9377690733582096
fixed,S1,1009,1,1,0.5560866560000478,-10.363589858838395,0.00043658236312549975,-0.18234571074449768
fixed,S1,1010,1,1,0.3042500380000775,-7.849822649598309,0.016486114846528,-0.27968592018494043
fixed,S1,1011,1,1,0.5653744899998401,-58.96667449661413,-0.0019089999246611963,0.28616134732918175
fixed,S1,1012,1,1,0.557827341999996,34.689148691911896,9.108458682099974e-05,2.4489056885826646
fixed,S1,1013,1,1,0.33611498599987044,-46.729760049588776,0.010054566842566302,-2.643539995569185
fixed,S1,1014,1,1,0.4616941400000769,-6.35463848306631,0.0095752728762349,1.074490632180332
fixed,S1,1015,1,1,0.4254775610002071,-20.553240078575755,0.0200167207337302,-0.6443366067050293
fixed,S1,1016,1,1,0.3693878299999369,51.92510614612229,0.0128591930817454,0.2217129436654024
fixed,S1,1017,1,1,0.5376120449998326,17.198850452891293,-0.014542267526415003,0.7021724107182159
fixed,S1,1018,1,1,0.2525629639999352,-83.18561174479123,-0.004322900757074304,2.2396046743265874
fixed,S1,1019,1,1,0.5745990610000717,-6.243209353079465,0.0011065499321658012,-3.8721554895105843
fixed,S2,1000,1,1,0.6106453320001038,-12.794272375253513,-0.000663353475129299,1.2152052639982855
fixed,S2,1001,1,1,0.7752558450000606,10.857667378879455,-0.007062748723819397,1.649696257497796
fixed,S2,1002,0,1,-0.1962561419999247,,,
fixed,S2,1003,1,1,0.5049566409999215,-27.762354367832813,-0.006589848556721095,-1.1676427792701427
fixed,S2,1004,1,1,1.0342210609999258,118.4065832413769,0.005441442821362701,2.2370722193415524
fixed,S2,1005,1,1,0.3273043909999842,-22.610238075297502,-0.0012073217795709953,0.7931515854606968
fixed,S2,1006,1,1,0.6248067259998606,3.050694100512601,-0.0047825514506106,0.11296991821708957
fixed,S2,1007,1,1,2.5450715800000125,85.90792994526828,0.005852143621324499,1.5367748776541852
fixed,S2,1008,1,1,1.0961440209999864,-54.16575430671014,0.015541578527762799,-0.5836057605735441
fixed,S2,1009,1,1,0.39795072799984155,-9.740085451281175,0.006901372874258502,0.0
fixed,S2,1010,1,1,0.554739148000067,-43.14112757243197,-0.0073335972469959,0.6767143518707446
fixed,S2,1011,1,1,1.3417132609998816,106.78884029947585,0.018439506378567103,-1.6714704637827058
fixed,S2,1012,1,1,0.6764298600000984,45.35367785841663,0.0009131055746890993,-1.3912147608546745
fixed,S2,1013,1,1,1.0684835429999566,7.701833568744632,0.002521717008040901,0.13744744800339603
fixed,S2,1014,1,1,0.48439859999996315,-26.577089253025747,-0.008359822720409003,-2.2209378112341973
fixed,S2,1015,1,1,1.5323025820000566,14.12877805291464,-0.0017936990382820019,-2.1274412340996154
fixed,S2,1016,1,1,0.4584514890000264,-54.95644610347472,-0.011862134774234298,-0.6613275047772175
fixed,S2,1017,1,1,0.37036129999967216,-71.20751567209322,-0.031121791598456097,0.3494929336823738
fixed,S2,1018,1,1,0.9235237210000378,-1.5916376035115718,-0.0035667157696613015,0.9633774660212047
fixed,S2,1019,1,1,0.28321298600008055,-57.490515276112774,-0.0021501430409509997,0.0
fixed,S3,1000,1,1,0.036412975999951414,18.19919108454792,0.019652989187821,-0.45148391570959845
fixed,S3,1001,1,1,0.7742204770000853,11.406705104432945,0.006197346186183301,-1.5557729544722
fixed,S3,1002,1,1,1.1236369790000253,8.681038824863663,0.004659212044213799,1.1540602474479553
fixed,S3,1003,1,1,0.8165776999999252,-0.34083649192109533,0.0006748483388489025,1.2771624426339014
fixed,S3,1004,1,1,0.3438899489999585,23.065840017226947,0.0079352168878291,0.916737058446893
fixed,S3,1005,1,1,0.803823589999979,-4.7512451202784405,0.012984235887447005,-1.3128828629682372
fixed,S3,1006,1,1,0.720119727999986,-3.0644225971236665,0.0037817560742696987,-0.6846687548385884
fixed,S3,1007,0,0,1.2284883699999227,,,
fixed,S3,1008,0,1,0.7413661409999577,,,
fixed,S3,1009,1,1,1.267809181999837,87.74013651497353,0.012285758356908101,0.5928534064261837
fixed,S3,1010,1,1,0.3399480869998115,36.54999416678447,0.0142166685023003,-4.191698822389615
fixed,S3,1011,0,0,0.8993667720000076,,,
fixed,S3,1012,1,1,0.6386541260000058,135.16689554243885,0.0320097325077532,-1.3117270116751776
fixed,S3,1013,1,1,0.031229457999870702,26.165009609747358,0.0254009265252938,-1.0334824489786225
fixed,S3,1014,0,1,0.5334122359998901,,,
fixed,S3,1015,1,1,0.720715616999769,8.275573890009241,-0.014803958627223897,7.889953354006517
fixed,S3,1016,1,1,0.39357228499989105,24.98617824604173,0.0084320740965775,0.11288148159438194
fixed,S3,1017,1,1,0.41020744599995856,29.4665242789265,0.014382825910455102,2.3409506135487135
fixed,S3,1018,1,1,0.7015038490001189,79.65729911189442,0.008940717080059703,2.7984165630722515
fixed,S3,1019,0,1,0.37861961699979935,,,
fixed,S4,1000,1,1,0.2645085949999384,-26.02957513488502,-0.004621271198603703,-0.2188134838553566
fixed,S4,1001,1,1,0.2806829009999774,-5.306247552701279,-0.0006140468547924001,1.0340350634990187
fixed,S4,1002,1,1,0.2363642510000546,-56.21107923891179,-0.0102207066331287,1.0466796939426783
fixed,S4,1003,1,1,0.26323134899996614,5.665552397119768,0.014764370936529398,1.893549456262761
fixed,S4,1004,1,1,0.29372707999982595,33.196265452918055,0.020342232166092,0.23345530478763954
fixed,S4,1005,1,1,0.274697718000084,16.02277608437521,-0.0004093096922172003,-3.2278650146937764
fixed,S4,1006,1,1,0.23409240499984213,-5.472588466274601,-0.011287211552814801,0.31737758621580525
