valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,experiment,map_id,map_group,algorithm,seed,validator_version,scenario_hash
1,1,1,0.11633621700025287,1056.9590953990207,0.03813247797758433,0.0025421651985056224,1.222036123505303,92.33333333333333,,1701,170,2156,35,133,0,fixed,S1,S1,APFMultiRRT,1017,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.25597331500000564,1145.85465974477,0.03300562371473293,0.002200374914315529,2.441047960077908,99.33333333333333,,4420,272,3846,36,288,0,fixed,S1,S1,APFMultiRRT,1018,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.12631614499991883,1086.7415047520658,0.03657840694145483,0.0024385604627636553,4.54781786815272,93.33333333333333,,2510,174,2383,37,166,0,fixed,S1,S1,APFMultiRRT,1019,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.06531521499982773,1270.8174945585197,0.06630610074279103,0.00442040671618607,0.7131294185492578,112.33333333333333,,417,171,1270,36,0,0,fixed,S1,S1,MultiRRT,1000,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.03374140999994779,1096.726558504395,0.03376469945767769,0.0022509799638451796,1.9400819309469313,94.66666666666667,,490,177,916,28,0,0,fixed,S1,S1,MultiRRT,1001,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.031193166999855748,,,,,,no_path,621,242,579,8,0,0,fixed,S1,S1,MultiRRT,1002,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.04510699500008286,1197.9710834166613,0.06384984561617946,0.004256656374411964,2.0324118809907556,104.66666666666667,,555,173,1108,32,0,0,fixed,S1,S1,MultiRRT,1003,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.050189004999879216,1068.722874124246,0.06715101746866257,0.004476734497910837,0.737466357100601,93.0,,350,149,1258,47,0,0,fixed,S1,S1,MultiRRT,1004,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.030409104000000298,1174.7516670737923,0.04001480859175646,0.0026676539061170975,3.2332651790005045,101.33333333333333,,406,144,937,31,0,0,fixed,S1,S1,MultiRRT,1005,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.027773710000133178,,,,,,no_path,446,195,723,17,0,0,fixed,S1,S1,MultiRRT,1006,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
