valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,experiment,map_id,map_group,algorithm,seed,validator_version,scenario_hash
1,1,1,0.2559733150000056,1145.85465974477,0.0330056237147329,0.0022003749143155,2.441047960077908,99.33333333333331,,4420,272,3846,36,288,0,fixed,S1,S1,APFMultiRRT,1018,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.1263161449999188,1086.7415047520658,0.0365784069414548,0.0024385604627636,4.54781786815272,93.33333333333331,,2510,174,2383,37,166,0,fixed,S1,S1,APFMultiRRT,1019,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0653152149998277,1270.8174945585197,0.066306100742791,0.004420406716186,0.7131294185492578,112.33333333333331,,417,171,1270,36,0,0,fixed,S1,S1,MultiRRT,1000,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0337414099999477,1096.726558504395,0.0337646994576776,0.0022509799638451,1.9400819309469317,94.66666666666669,,490,177,916,28,0,0,fixed,S1,S1,MultiRRT,1001,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0311931669998557,,,,,,no_path,621,242,579,8,0,0,fixed,S1,S1,MultiRRT,1002,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0451069950000828,1197.9710834166613,0.0638498456161794,0.0042566563744119,2.032411880990756,104.66666666666669,,555,173,1108,32,0,0,fixed,S1,S1,MultiRRT,1003,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0501890049998792,1068.722874124246,0.0671510174686625,0.0044767344979108,0.737466357100601,93.0,,350,149,1258,47,0,0,fixed,S1,S1,MultiRRT,1004,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0304091040000002,1174.7516670737923,0.0400148085917564,0.002667653906117,3.2332651790005045,101.33333333333331,,406,144,937,31,0,0,fixed,S1,S1,MultiRRT,1005,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0277737100001331,,,,,,no_path,446,195,723,17,0,0,fixed,S1,S1,MultiRRT,1006,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.029420914999946,1148.1305344887276,0.0327588251415097,0.0021839216761006,1.689383646481165,98.66666666666669,,431,163,886,28,0,0,fixed,S1,S1,MultiRRT,1007,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0281372799998962,1150.1916219839472,0.0399089473469846,0.0026605964897989,1.6451202812061396,100.0,,405,176,900,26,0,0,fixed,S1,S1,MultiRRT,1008,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0266263120000758,,,,,,no_path,472,162,693,18,0,0,fixed,S1,S1,MultiRRT,1009,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0341205299999956,,,,,,no_path,558,167,901,29,0,0,fixed,S1,S1,MultiRRT,1010,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0370020749999184,1085.0616247455555,0.0467688182705863,0.003117921218039,1.7834453180188348,94.0,,355,155,876,27,0,0,fixed,S1,S1,MultiRRT,1011,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0268406360000881,1080.3498893084825,0.0431236163223543,0.0028749077548236,1.5191342237746337,94.66666666666669,,308,114,867,27,0,0,fixed,S1,S1,MultiRRT,1012,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.036495365000178,,,,,,no_path,739,165,432,9,0,0,fixed,S1,S1,MultiRRT,1013,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0245786149998821,,,,,,no_path,585,172,509,10,0,0,fixed,S1,S1,MultiRRT,1014,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0308403239999961,1078.6400683193212,0.0307450138835817,0.0020496675922387,1.2873485463423542,93.33333333333331,,326,131,844,28,0,0,fixed,S1,S1,MultiRRT,1015,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0256668250000302,,,,,,no_path,547,127,628,18,0,0,fixed,S1,S1,MultiRRT,1016,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0296433099998694,,,,,,no_path,570,175,661,19,0,0,fixed,S1,S1,MultiRRT,1017,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
1,1,1,0.0333300180001288,1068.413242515093,0.0296949226828975,0.0019796615121931,1.9230545895420617,93.0,,372,146,866,24,0,0,fixed,S1,S1,MultiRRT,1018,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
0,0,0,0.0430598279999685,,,,,,no_path,503,144,1130,34,0,0,fixed,S1,S1,MultiRRT,1019,exact_geometry_v2,dfb22a54f1bd12560c7dc3c99ac7ee01636d2061e8bb15cba993a23677934b95
