valid,complete,collision_free,runtime,mean_path_length,turning_angle,curvature_proxy,min_clearance,mean_node_count,failure_reason,samples,expanded_nodes,collision_checks,validator_calls,apf_calls,lookahead_trials,map_id,algorithm,M,H,seed,validator_version,scenario_hash
1,1,1,0.3622799960000975,1012.336204408372,0.0230800840245954,0.00153867226830636,0.8997150149687823,87.33333333333333,,1050,165,3697,30,2350,1358,S2,RALMultiRRT,2,2,12001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.49466662400027417,1071.7487400788484,0.037081871440909416,0.0024721247627272937,2.053932053483228,92.66666666666667,,3084,221,5091,44,3056,1840,S2,RALMultiRRT,2,2,12002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6969835130000774,1039.5321660405614,0.028417068237018516,0.0018944712158012347,2.43588378561585,90.33333333333333,,1560,173,6422,30,5239,3280,S2,RALMultiRRT,4,2,12000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.7283995380000761,1025.4850566419032,0.025360696105061104,0.0016907130736707405,1.2033977353093093,89.0,,2424,203,6551,33,5343,3408,S2,RALMultiRRT,4,2,12001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,0.6294359750004332,1032.2841777722804,0.029633996582739075,0.001975599772182605,2.2790081634211123,89.33333333333333,,1545,164,5597,31,4657,2784,S2,RALMultiRRT,4,2,12002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,2.035828021000043,1022.3323193503547,0.02289826857265988,0.0015265512381773254,0.21726761062080868,88.33333333333333,,3107,213,17022,35,17110,8512,S2,RALMultiRRT,8,3,12000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,1.6894367560000774,1010.1494689838337,0.02681156213104841,0.0017874374754032274,1.5090882188846972,87.66666666666667,,2268,191,13807,29,14618,7136,S2,RALMultiRRT,8,3,12001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
1,1,1,1.216761138000038,1042.4655802576024,0.021737566774175408,0.0014491711182783608,1.0027861481581173,90.33333333333333,,1269,178,10746,29,10664,5128,S2,RALMultiRRT,8,3,12002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
0,0,0,2.7222120690003067,,,,,,iteration_budget,3928,210,22023,17,25297,12360,S2,RALMultiRRT,12,3,12000,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
0,0,0,3.691547311000022,,,,,,iteration_budget,3156,287,31349,21,31364,16224,S2,RALMultiRRT,12,3,12001,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
0,0,0,3.297227143999862,,,,,,iteration_budget,5178,244,26734,23,29378,15396,S2,RALMultiRRT,12,3,12002,exact_geometry_v2,518a28b328775307e59debe9fe0cf20ac6ce40753ad794c16a6c2ff1c5d0bf06
